#Stopping Power for protons in CH2, 0.98 g/cm^3, -dE/dx[MeV/mm]
E[MeV] Electronic[MeV/mm] Nuclear[MeV/mm]
1.00 4.527E+01 3.553E-02
1.10 4.250E+01 3.269E-02
1.20 4.011E+01 3.029E-02
1.30 3.803E+01 2.824E-02
1.40 3.619E+01 2.646E-02
1.50 3.456E+01 2.490E-02
1.60 3.311E+01 2.353E-02
1.70 3.180E+01 2.230E-02
1.80 3.061E+01 2.121E-02
2.00 2.854E+01 1.932E-02
2.25 2.685E+01 1.741E-02
2.50 2.512E+01 1.586E-02
2.75 2.346E+01 1.457E-02
3.00 2.202E+01 1.349E-02
3.25 2.076E+01 1.256E-02
3.50 1.964E+01 1.176E-02
3.75 1.864E+01 1.106E-02
4.00 1.775E+01 1.044E-02
4.50 1.622E+01 9.395E-03
5.00 1.494E+01 8.550E-03
5.50 1.387E+01 7.850E-03
6.00 1.296E+01 7.261E-03
6.50 1.217E+01 6.758E-03
7.00 1.148E+01 6.322E-03
8.00 1.033E+01 5.607E-03
9.00 9.401E+00 5.042E-03
10.00 8.642E+00 4.585E-03
11.00 8.006E+00 4.207E-03
12.00 7.464E+00 3.889E-03
13.00 6.997E+00 3.617E-03
14.00 6.590E+00 3.382E-03
15.00 6.231E+00 3.177E-03
16.00 5.913E+00 2.997E-03
17.00 5.628E+00 2.837E-03
18.00 5.372E+00 2.693E-03
20.00 4.929E+00 2.447E-03
