ESTAR: Stopping Powers and Range Tables for Electrons

LITHIUM HYDRIDE                                                               

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-02 2.338E+01 
1.250E-02 1.956E+01 
1.500E-02 1.691E+01 
1.750E-02 1.495E+01 
2.000E-02 1.345E+01 
2.500E-02 1.128E+01 
3.000E-02 9.784E+00 
3.500E-02 8.687E+00 
4.000E-02 7.847E+00 
4.500E-02 7.181E+00 
5.000E-02 6.641E+00 
5.500E-02 6.193E+00 
6.000E-02 5.815E+00 
7.000E-02 5.213E+00 
8.000E-02 4.755E+00 
9.000E-02 4.394E+00 
1.000E-01 4.102E+00 
1.250E-01 3.571E+00 
1.500E-01 3.212E+00 
1.750E-01 2.953E+00 
2.000E-01 2.759E+00 
2.500E-01 2.487E+00 
3.000E-01 2.309E+00 
3.500E-01 2.184E+00 
4.000E-01 2.093E+00 
4.500E-01 2.024E+00 
5.000E-01 1.971E+00 
5.500E-01 1.929E+00 
6.000E-01 1.896E+00 
7.000E-01 1.847E+00 
8.000E-01 1.814E+00 
9.000E-01 1.792E+00 
1.000E+00 1.776E+00 
1.250E+00 1.755E+00 
1.500E+00 1.747E+00 
1.750E+00 1.746E+00 
2.000E+00 1.749E+00 
2.500E+00 1.759E+00 
3.000E+00 1.771E+00 
3.500E+00 1.784E+00 
4.000E+00 1.796E+00 
4.500E+00 1.808E+00 
5.000E+00 1.820E+00 
5.500E+00 1.831E+00 
6.000E+00 1.841E+00 
7.000E+00 1.862E+00 
8.000E+00 1.881E+00 
9.000E+00 1.899E+00 
1.000E+01 1.917E+00 
1.250E+01 1.958E+00 
1.500E+01 1.997E+00 
1.750E+01 2.035E+00 
2.000E+01 2.071E+00 
2.500E+01 2.141E+00 
3.000E+01 2.209E+00 
3.500E+01 2.275E+00 
4.000E+01 2.340E+00 
4.500E+01 2.405E+00 
5.000E+01 2.469E+00 
5.500E+01 2.533E+00 
6.000E+01 2.597E+00 
7.000E+01 2.723E+00 
8.000E+01 2.848E+00 
9.000E+01 2.974E+00 
1.000E+02 3.098E+00 
1.250E+02 3.410E+00 
1.500E+02 3.721E+00 
1.750E+02 4.031E+00 
2.000E+02 4.342E+00 
2.500E+02 4.963E+00 
3.000E+02 5.585E+00 
3.500E+02 6.208E+00 
4.000E+02 6.831E+00 
4.500E+02 7.454E+00 
5.000E+02 8.078E+00 
5.500E+02 8.703E+00 
6.000E+02 9.328E+00 
7.000E+02 1.058E+01 
8.000E+02 1.183E+01 
9.000E+02 1.308E+01 
1.000E+03 1.434E+01 
