particle,energy_MeV,detector_material,detector_thickness_mm,mean_eDep_MeV,std_eDep_MeV,stderr_eDep_MeV,n_events
deuteron,0.1,Si,0.5,0.1,0.0,0.0,10000
deuteron,0.1,Si,0.75,0.1,0.0,0.0,10000
deuteron,0.1,Si,1.0,0.1,0.0,0.0,10000
deuteron,0.1,Si,1.25,0.1,0.0,0.0,10000
deuteron,0.1,Si,1.5,0.1,0.0,0.0,10000
deuteron,0.1,Si,1.75,0.1,0.0,0.0,10000
deuteron,0.1,Si,2.0,0.1,0.0,0.0,10000
deuteron,0.2,Si,0.5,0.2,0.0,0.0,10000
deuteron,0.2,Si,0.75,0.2,0.0,0.0,10000
deuteron,0.2,Si,1.0,0.2,0.0,0.0,10000
deuteron,0.2,Si,1.25,0.2,0.0,0.0,10000
deuteron,0.2,Si,1.5,0.2,0.0,0.0,10000
deuteron,0.2,Si,1.75,0.2,0.0,0.0,10000
deuteron,0.2,Si,2.0,0.2,0.0,0.0,10000
deuteron,0.3,Si,0.5,0.3,0.0,0.0,10000
deuteron,0.3,Si,0.75,0.3,0.0,0.0,10000
deuteron,0.3,Si,1.0,0.3,0.0,0.0,10000
deuteron,0.3,Si,1.25,0.3,0.0,0.0,10000
deuteron,0.3,Si,1.5,0.3,0.0,0.0,10000
deuteron,0.3,Si,1.75,0.3,0.0,0.0,10000
deuteron,0.3,Si,2.0,0.3,0.0,0.0,10000
deuteron,0.4,Si,0.5,0.4,0.0,0.0,10000
deuteron,0.4,Si,0.75,0.4,0.0,0.0,10000
deuteron,0.4,Si,1.0,0.4,0.0,0.0,10000
deuteron,0.4,Si,1.25,0.4,0.0,0.0,10000
deuteron,0.4,Si,1.5,0.4,0.0,0.0,10000
deuteron,0.4,Si,1.75,0.4,0.0,0.0,10000
deuteron,0.4,Si,2.0,0.4,0.0,0.0,10000
deuteron,0.5,Si,0.5,0.5,0.0,0.0,10000
deuteron,0.5,Si,0.75,0.5,0.0,0.0,10000
deuteron,0.5,Si,1.0,0.5,0.0,0.0,10000
deuteron,0.5,Si,1.25,0.5,0.0,0.0,10000
deuteron,0.5,Si,1.5,0.5,0.0,0.0,10000
deuteron,0.5,Si,1.75,0.5,0.0,0.0,10000
deuteron,0.5,Si,2.0,0.5,0.0,0.0,10000
deuteron,0.6,Si,0.5,0.6,0.0,0.0,10000
deuteron,0.6,Si,0.75,0.6,0.0,0.0,10000
deuteron,0.6,Si,1.0,0.6,0.0,0.0,10000
deuteron,0.6,Si,1.25,0.6,0.0,0.0,10000
deuteron,0.6,Si,1.5,0.6,0.0,0.0,10000
deuteron,0.6,Si,1.75,0.6,0.0,0.0,10000
deuteron,0.6,Si,2.0,0.6,0.0,0.0,10000
deuteron,0.7,Si,0.5,0.7,2.08504e-07,2.08504e-09,10000
deuteron,0.7,Si,0.75,0.7,2.08504e-07,2.08504e-09,10000
deuteron,0.7,Si,1.0,0.7,2.08504e-07,2.08504e-09,10000
deuteron,0.7,Si,1.25,0.7,2.08504e-07,2.08504e-09,10000
deuteron,0.7,Si,1.5,0.7,2.08504e-07,2.08504e-09,10000
deuteron,0.7,Si,1.75,0.7,2.08504e-07,2.08504e-09,10000
deuteron,0.7,Si,2.0,0.7,2.08504e-07,2.08504e-09,10000
deuteron,0.7999999999999999,Si,0.5,0.8,0.0,0.0,10000
deuteron,0.7999999999999999,Si,0.75,0.8,0.0,0.0,10000
deuteron,0.7999999999999999,Si,1.0,0.8,0.0,0.0,10000
deuteron,0.7999999999999999,Si,1.25,0.8,0.0,0.0,10000
deuteron,0.7999999999999999,Si,1.5,0.8,0.0,0.0,10000
deuteron,0.7999999999999999,Si,1.75,0.8,0.0,0.0,10000
deuteron,0.7999999999999999,Si,2.0,0.8,0.0,0.0,10000
deuteron,0.8999999999999999,Si,0.5,0.9,6.91318e-07,6.91318e-09,10000
deuteron,0.8999999999999999,Si,0.75,0.9,6.91318e-07,6.91318e-09,10000
deuteron,0.8999999999999999,Si,1.0,0.9,6.91318e-07,6.91318e-09,10000
deuteron,0.8999999999999999,Si,1.25,0.9,6.91318e-07,6.91318e-09,10000
deuteron,0.8999999999999999,Si,1.5,0.9,6.91318e-07,6.91318e-09,10000
deuteron,0.8999999999999999,Si,1.75,0.9,6.91318e-07,6.91318e-09,10000
deuteron,0.8999999999999999,Si,2.0,0.9,6.91318e-07,6.91318e-09,10000
deuteron,0.9999999999999999,Si,0.5,1.0,1.49012e-08,1.49012e-10,10000
deuteron,0.9999999999999999,Si,0.75,1.0,1.49012e-08,1.49012e-10,10000
deuteron,0.9999999999999999,Si,1.0,1.0,1.49012e-08,1.49012e-10,10000
deuteron,0.9999999999999999,Si,1.25,1.0,1.49012e-08,1.49012e-10,10000
deuteron,0.9999999999999999,Si,1.5,1.0,1.49012e-08,1.49012e-10,10000
deuteron,0.9999999999999999,Si,1.75,1.0,1.49012e-08,1.49012e-10,10000
deuteron,0.9999999999999999,Si,2.0,1.0,1.49012e-08,1.49012e-10,10000
deuteron,1.0999999999999999,Si,0.5,1.1,0.0,0.0,10000
deuteron,1.0999999999999999,Si,0.75,1.1,0.0,0.0,10000
deuteron,1.0999999999999999,Si,1.0,1.1,0.0,0.0,10000
deuteron,1.0999999999999999,Si,1.25,1.1,0.0,0.0,10000
deuteron,1.0999999999999999,Si,1.5,1.1,0.0,0.0,10000
deuteron,1.0999999999999999,Si,1.75,1.1,0.0,0.0,10000
deuteron,1.0999999999999999,Si,2.0,1.1,0.0,0.0,10000
deuteron,1.2,Si,0.5,1.2,0.0,0.0,10000
deuteron,1.2,Si,0.75,1.2,0.0,0.0,10000
deuteron,1.2,Si,1.0,1.2,0.0,0.0,10000
deuteron,1.2,Si,1.25,1.2,0.0,0.0,10000
deuteron,1.2,Si,1.5,1.2,0.0,0.0,10000
deuteron,1.2,Si,1.75,1.2,0.0,0.0,10000
deuteron,1.2,Si,2.0,1.2,0.0,0.0,10000
deuteron,1.3,Si,0.5,1.3,7.81571e-07,7.81571e-09,10000
deuteron,1.3,Si,0.75,1.3,7.81571e-07,7.81571e-09,10000
deuteron,1.3,Si,1.0,1.3,7.81571e-07,7.81571e-09,10000
deuteron,1.3,Si,1.25,1.3,7.81571e-07,7.81571e-09,10000
deuteron,1.3,Si,1.5,1.3,7.81571e-07,7.81571e-09,10000
deuteron,1.3,Si,1.75,1.3,7.81571e-07,7.81571e-09,10000
deuteron,1.3,Si,2.0,1.3,7.81571e-07,7.81571e-09,10000
deuteron,1.4,Si,0.5,1.4,4.17009e-07,4.17009e-09,10000
deuteron,1.4,Si,0.75,1.4,4.17009e-07,4.17009e-09,10000
deuteron,1.4,Si,1.0,1.4,4.17009e-07,4.17009e-09,10000
deuteron,1.4,Si,1.25,1.4,4.17009e-07,4.17009e-09,10000
deuteron,1.4,Si,1.5,1.4,4.17009e-07,4.17009e-09,10000
deuteron,1.4,Si,1.75,1.4,4.17009e-07,4.17009e-09,10000
deuteron,1.4,Si,2.0,1.4,4.17009e-07,4.17009e-09,10000
deuteron,1.5,Si,0.5,1.5,0.0,0.0,10000
deuteron,1.5,Si,0.75,1.5,0.0,0.0,10000
deuteron,1.5,Si,1.0,1.5,0.0,0.0,10000
deuteron,1.5,Si,1.25,1.5,0.0,0.0,10000
deuteron,1.5,Si,1.5,1.5,0.0,0.0,10000
deuteron,1.5,Si,1.75,1.5,0.0,0.0,10000
deuteron,1.5,Si,2.0,1.5,0.0,0.0,10000
deuteron,1.5999999999999999,Si,0.5,1.6,0.0,0.0,10000
deuteron,1.5999999999999999,Si,0.75,1.6,0.0,0.0,10000
deuteron,1.5999999999999999,Si,1.0,1.6,0.0,0.0,10000
deuteron,1.5999999999999999,Si,1.25,1.6,0.0,0.0,10000
deuteron,1.5999999999999999,Si,1.5,1.6,0.0,0.0,10000
deuteron,1.5999999999999999,Si,1.75,1.6,0.0,0.0,10000
deuteron,1.5999999999999999,Si,2.0,1.6,0.0,0.0,10000
deuteron,1.7,Si,0.5,1.7,0.0,0.0,10000
deuteron,1.7,Si,0.75,1.7,0.0,0.0,10000
deuteron,1.7,Si,1.0,1.7,0.0,0.0,10000
deuteron,1.7,Si,1.25,1.7,0.0,0.0,10000
deuteron,1.7,Si,1.5,1.7,0.0,0.0,10000
deuteron,1.7,Si,1.75,1.7,0.0,0.0,10000
