#LIBRARY    ENDF/B-VIII.0
#REACTION   H-2(N,EL)H-2-L0,SIG
#NUCLEUS    H-2
#MF         3
#MT         2
E,eV        Sig,b  
1.000000e+6 2.872494e+0
1.200000e+6 2.817782e+0
1.500000e+6 2.729993e+0
1.750000e+6 2.640594e+0
1.950000e+6 2.559956e+0
2.000000e+6 2.539992e+0
2.250000e+6 2.441128e+0
2.450000e+6 2.363892e+0
2.500000e+6 2.344992e+0
2.750000e+6 2.253762e+0
3.000000e+6 2.159991e+0
3.270000e+6 2.057471e+0
3.339000e+6 2.032590e+0
3.400000e+6 2.009937e+0
3.500000e+6 1.974245e+0
3.750000e+6 1.891895e+0
4.000000e+6 1.817490e+0
4.250000e+6 1.752646e+0
4.500000e+6 1.693122e+0
5.000000e+6 1.584989e+0
5.500000e+6 1.487528e+0
5.600000e+6 1.469176e+0
6.000000e+6 1.399789e+0
6.500000e+6 1.320719e+0
7.000000e+6 1.247988e+0
7.250000e+6 1.213343e+0
7.500000e+6 1.179659e+0
7.850000e+6 1.135159e+0
8.000000e+6 1.117288e+0
8.500000e+6 1.064233e+0
9.000000e+6 1.014989e+0
9.500000e+6 9.647619e-1
9.700000e+6 9.449282e-1
1.000000e+7 9.159888e-1
1.050000e+7 8.710410e-1
1.100000e+7 8.297105e-1
1.150000e+7 7.919975e-1
1.175000e+7 7.742863e-1
1.200000e+7 7.572065e-1
1.217000e+7 7.457486e-1
1.225000e+7 7.403601e-1
1.250000e+7 7.237674e-1
1.300000e+7 6.931467e-1
1.350000e+7 6.672474e-1
1.400000e+7 6.435662e-1
1.410000e+7 6.388815e-1
1.417000e+7 6.356440e-1
1.450000e+7 6.206731e-1
1.500000e+7 5.989348e-1
1.550000e+7 5.771579e-1
1.600000e+7 5.572370e-1
1.650000e+7 5.399391e-1
1.700000e+7 5.238216e-1
1.750000e+7 5.087820e-1
1.800000e+7 4.942307e-1
1.850000e+7 4.794774e-1
1.900000e+7 4.653079e-1
1.950000e+7 4.522771e-1
2.000000e+7 4.400137e-1
