#Legendre coefficients for n,p differential scattering (l0=1 by convention)
Energy[eV]  l1           l2           l3           l4           l5          l6
1.000000e+6 -5.949241e-4 -1.378120e-5 -1.739117e-7 8.26192e-10 2.33759e-12 -1.08658e-13
1.100000e+6 -6.438425e-4 -1.717710e-5 -2.360433e-7 1.270662e-9 3.82498e-12 -9.46691e-14
1.200000e+6 -6.945653e-4 -2.092982e-5 -3.115701e-7 1.882080e-9 6.05917e-12 -6.64083e-14
1.300000e+6 -7.473521e-4 -2.502567e-5 -4.017639e-7 2.701052e-9 9.30571e-12 -1.72235e-14
1.400000e+6 -8.023906e-4 -2.944984e-5 -5.078719e-7 3.773611e-9 1.38914e-11 6.18766e-14
1.500000e+6 -8.598134e-4 -3.418663e-5 -6.311154e-7 5.151432e-9 2.02118e-11 1.82739e-13
1.600000e+6 -9.197107e-4 -3.921969e-5 -7.726886e-7 6.892053e-9 2.87395e-11 3.60427e-13
1.700000e+6 -9.821394e-4 -4.453217e-5 -9.337580e-7 9.059075e-9 4.00319e-11 6.14177e-13
1.800000e+6 -1.047130e-3 -5.010688e-5 -1.115462e-6 1.172236e-8 5.47398e-11 9.67731e-13
1.900000e+6 -1.114694e-3 -5.592634e-5 -1.318910e-6 1.495823e-8 7.36160e-11 1.45037e-12
2.000000e+6 -1.184825e-3 -6.197290e-5 -1.545183e-6 1.884963e-8 9.75237e-11 2.09769e-12
2.200000e+6 -1.332704e-3 -7.467609e-5 -2.070384e-6 2.896495e-8 1.64494e-10 4.06558e-12
2.400000e+6 -1.490512e-3 -8.807343e-5 -2.699131e-6 4.287077e-8 2.65110e-10 7.31839e-12
2.600000e+6 -1.657886e-3 -1.020217e-4 -3.439029e-6 6.148568e-8 4.11178e-10 1.24706e-11
2.800000e+6 -1.834403e-3 -1.163783e-4 -4.297226e-6 8.584875e-8 6.17152e-10 2.03452e-11
3.000000e+6 -2.019599e-3 -1.310016e-4 -5.280414e-6 1.171233e-7 9.00424e-10 3.20204e-11
3.200000e+6 -2.212991e-3 -1.457513e-4 -6.394844e-6 1.566001e-7 1.281627e-9 4.88819e-11
3.400000e+6 -2.414087e-3 -1.604889e-4 -7.646330e-6 2.057005e-7 1.784923e-9 7.26818e-11
3.600000e+6 -2.622393e-3 -1.750776e-4 -9.040262e-6 2.659783e-7 2.438297e-9 1.05604e-10
3.800000e+6 -2.837417e-3 -1.893824e-4 -1.058161e-5 3.391218e-7 3.273828e-9 1.50334e-10
4.000000e+6 -3.058676e-3 -2.032704e-4 -1.227496e-5 4.269555e-7 4.327968e-9 2.10138e-10
4.200000e+6 -3.285696e-3 -2.166107e-4 -1.412449e-5 5.314405e-7 5.641793e-9 2.88951e-10
4.400000e+6 -3.518013e-3 -2.292743e-4 -1.613402e-5 6.546753e-7 7.261251e-9 3.91462e-10
4.600000e+6 -3.755174e-3 -2.411346e-4 -1.830698e-5 7.988960e-7 9.237388e-9 5.23218e-10
4.800000e+6 -3.996738e-3 -2.520669e-4 -2.064650e-5 9.664757e-7 1.162656e-8 6.90730e-10
5.000000e+6 -4.242277e-3 -2.619485e-4 -2.315533e-5 1.159924e-6 1.449061e-8 9.01584e-10
5.200000e+6 -4.491374e-3 -2.706590e-4 -2.583595e-5 1.381884e-6 1.789708e-8 1.164564e-9
5.400000e+6 -4.743623e-3 -2.780801e-4 -2.869050e-5 1.635136e-6 2.191928e-8 1.489781e-9
5.600000e+6 -4.998632e-3 -2.840956e-4 -3.172087e-5 1.922589e-6 2.663651e-8 1.888806e-9
5.800000e+6 -5.256019e-3 -2.885913e-4 -3.492866e-5 2.247281e-6 3.213405e-8 2.374816e-9
6.000000e+6 -5.515414e-3 -2.914554e-4 -3.831524e-5 2.612380e-6 3.850333e-8 2.962745e-9
6.200000e+6 -5.776457e-3 -2.925779e-4 -4.188175e-5 3.021175e-6 4.584191e-8 3.669441e-9
6.400000e+6 -6.038800e-3 -2.918512e-4 -4.562908e-5 3.477077e-6 5.425349e-8 4.513834e-9
6.600000e+6 -6.302103e-3 -2.891697e-4 -4.955797e-5 3.983612e-6 6.384792e-8 5.517106e-9
6.800000e+6 -6.566040e-3 -2.844301e-4 -5.366896e-5 4.544422e-6 7.474116e-8 6.702880e-9
7.000000e+6 -6.830292e-3 -2.775308e-4 -5.796242e-5 5.163256e-6 8.705515e-8 8.097399e-9
7.500000e+6 -7.490297e-3 -2.501897e-4 -6.949561e-5 6.989730e-6 1.249091e-7 1.269520e-8
8.000000e+6 -8.145803e-3 -2.072477e-4 -8.217097e-5 9.266060e-6 1.746083e-7 1.932885e-8
8.500000e+6 -8.792596e-3 -1.472998e-4 -9.598586e-5 1.205849e-5 2.385068e-7 2.867912e-8
9.000000e+6 -9.426801e-3 -6.902659e-5 -1.109361e-4 1.543614e-5 3.191329e-7 4.158916e-8
9.500000e+6 -1.004487e-2 2.880446e-5 -1.270177e-4 1.947040e-5 4.191518e-7 5.908902e-8
1.000000e+7 -1.064356e-2 1.473377e-4 -1.442281e-4 2.423436e-5 5.413201e-7 8.242175e-8
1.050000e+7 -1.121995e-2 2.876282e-4 -1.625681e-4 2.980216e-5 6.884312e-7 1.130710e-7
1.100000e+7 -1.177142e-2 4.506402e-4 -1.820425e-4 3.624842e-5 8.632534e-7 1.527899e-7
1.150000e+7 -1.229564e-2 6.372463e-4 -2.026620e-4 4.364756e-5 1.068460e-6 2.036315e-7
1.200000e+7 -1.279057e-2 8.482258e-4 -2.244438e-4 5.207324e-5 1.306554e-6 2.679803e-7
1.250000e+7 -1.325446e-2 1.084264e-3 -2.474127e-4 6.159778e-5 1.579782e-6 3.485844e-7
1.300000e+7 -1.368587e-2 1.345951e-3 -2.716015e-4 7.229158e-5 1.890050e-6 4.485896e-7
1.350000e+7 -1.408360e-2 1.633782e-3 -2.970518e-4 8.422266e-5 2.238830e-6 5.715733e-7
1.400000e+7 -1.444675e-2 1.948155e-3 -3.238143e-4 9.745618e-5 2.627058e-6 7.215796e-7
1.450000e+7 -1.477470e-2 2.289372e-3 -3.519488e-4 1.120541e-4 3.055044e-6 9.031553e-7
1.500000e+7 -1.506708e-2 2.657640e-3 -3.815239e-4 1.280747e-4 3.522365e-6 1.121386e-6
1.550000e+7 -1.532378e-2 3.053070e-3 -4.126174e-4 1.455727e-4 4.027769e-6 1.381933e-6
1.600000e+7 -1.554496e-2 3.475677e-3 -4.453150e-4 1.645984e-4 4.569070e-6 1.691070e-6
1.650000e+7 -1.573101e-2 3.925383e-3 -4.797104e-4 1.851985e-4 5.143058e-6 2.055720e-6
1.700000e+7 -1.588255e-2 4.402021e-3 -5.159036e-4 2.074152e-4 5.745397e-6 2.483493e-6
1.750000e+7 -1.600045e-2 4.905330e-3 -5.540007e-4 2.312868e-4 6.370542e-6 2.982727e-6
1.800000e+7 -1.608578e-2 5.434964e-3 -5.941119e-4 2.568478e-4 7.011651e-6 3.562518e-6
1.850000e+7 -1.613981e-2 5.990493e-3 -6.363509e-4 2.841290e-4 7.660509e-6 4.232764e-6
1.900000e+7 -1.616401e-2 6.571401e-3 -6.808325e-4 3.131579e-4 8.307460e-6 5.004201e-6
