material,thickness,particle_type,energy,heating_mean,heating_std,total_mean,total_std,flux_mean,flux_std,sensitivity_mean,sensitivity_std,total_prob_mean,total_prob_std
diamond,0.05,neutron,100000.0,4.390066119623499,0.09245325697777003,0.0002036524849704914,1.07331712035545e-06,0.00026908077591246226,1.4194924412373254e-06,4.390066119623499e-05,9.245325697777003e-07,0.0002036524849704914,1.07331712035545e-06
diamond,0.05,neutron,200000.0,6.669928836263749,0.15935285070200897,0.0001920250431215854,1.1609350897855361e-06,0.0002711281183769249,1.644454414359624e-06,3.334964418131875e-05,7.967642535100449e-07,0.0001920250431215854,1.1609350897855361e-06
diamond,0.05,neutron,300000.0,8.61785089197573,0.23032196231983357,0.00017769683610191814,8.69464308751945e-07,0.00026735426047493906,1.3045547575555135e-06,2.87261696399191e-05,7.677398743994453e-07,0.00017769683610191814,8.69464308751945e-07
diamond,0.05,neutron,400000.0,10.202723095210375,0.2520247676962602,0.00016517275943448594,8.153417539079374e-07,0.00026422998788086386,1.3066937761242614e-06,2.550680773802594e-05,6.300619192406505e-07,0.00016517275943448594,8.153417539079374e-07
diamond,0.05,neutron,500000.0,11.260071456809237,0.296836745011741,0.00015703326909157004,8.342318077311567e-07,0.0002667513728590069,1.4343076861874773e-06,2.2520142913618475e-05,5.93673490023482e-07,0.00015703326909157004,8.342318077311567e-07
diamond,0.05,neutron,600000.0,12.709843083326314,0.3343068162558943,0.00014677298171183003,7.349760697341786e-07,0.000263901247153619,1.3161873463559616e-06,2.118307180554386e-05,5.571780270931572e-07,0.00014677298171183003,7.349760697341786e-07
diamond,0.05,neutron,700000.0,13.34654880708559,0.3654723302819134,0.00013841672529372055,6.627003899920942e-07,0.0002631975528369153,1.263342980317387e-06,1.9066498295836556e-05,5.22103328974162e-07,0.00013841672529372055,6.627003899920942e-07
diamond,0.05,neutron,800000.0,14.21902321285184,0.37927957426395925,0.00013132683590158243,6.676395668283968e-07,0.00026355563442425657,1.3389816851698587e-06,1.7773779016064798e-05,4.7409946782994905e-07,0.00013132683590158243,6.676395668283968e-07
diamond,0.05,neutron,900000.0,16.80856953779924,0.5370454017206706,0.0001238060359190296,6.37720145229696e-07,0.0002617975110201671,1.3439160267341407e-06,1.867618837533249e-05,5.967171130229674e-07,0.0001238060359190296,6.37720145229696e-07
diamond,0.05,neutron,1000000.0,16.93865477007893,0.5726707743140186,0.00011780800357007769,5.169369763216243e-07,0.0002619788488958315,1.1534610228517042e-06,1.693865477007893e-05,5.726707743140186e-07,0.00011780800357007769,5.169369763216243e-07
diamond,0.05,neutron,1100000.0,16.763433397749978,0.5344476832437002,0.00011176545207152336,5.778549729952968e-07,0.0002610828412419314,1.348698680946455e-06,1.5239484907045435e-05,4.858615302215456e-07,0.00011176545207152336,5.778549729952968e-07
diamond,0.05,neutron,1200000.0,18.126658239301186,0.5949546407387147,0.0001068209286464298,5.796861538369193e-07,0.0002617463350493073,1.4229716452013308e-06,1.5105548532750989e-05,4.95795533948929e-07,0.0001068209286464298,5.796861538369193e-07
diamond,0.05,neutron,1300000.0,17.656274143098717,0.5205740999641798,0.00010111114752923656,4.7156538142682076e-07,0.0002594007146832214,1.2134168081570817e-06,1.3581749340845167e-05,4.004416153570614e-07,0.00010111114752923656,4.7156538142682076e-07
diamond,0.05,neutron,1400000.0,19.91815122993875,0.6656701769894314,9.62658373272054e-05,4.5867275847114314e-07,0.00025816125258603235,1.2276008887736117e-06,1.4227250878527679e-05,4.754786978495939e-07,9.62658373272054e-05,4.5867275847114314e-07
diamond,0.05,neutron,1500000.0,19.01692908228911,0.667530431061466,9.31926702415016e-05,4.706343347526042e-07,0.00026080744379705146,1.3160482556246781e-06,1.2677952721526073e-05,4.4502028737431067e-07,9.31926702415016e-05,4.706343347526042e-07
